"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 16, 2015","35,563","35,571","35,846","35,352","19.05K","-0.00"
"Mar 14, 2015","35,564","35,564","35,564","35,564","0","0.09"
"Mar 13, 2015","35,533","35,422","35,636","35,370","17.09K","0.59"
"Mar 12, 2015","35,325","35,173","35,539","35,080","22.32K","0.79"
"Mar 11, 2015","35,049","35,725","35,828","34,887","26.95K","-1.82"
"Mar 10, 2015","35,697","35,846","35,990","35,557","23.51K","-0.60"
"Mar 09, 2015","35,914","36,000","36,188","35,838","15.06K","-0.16"
"Mar 06, 2015","35,972","36,460","36,460","35,911","19.84K","-0.68"
"Mar 05, 2015","36,217","36,550","36,550","36,199","0.08K","-0.44"
"Mar 04, 2015","36,378","36,400","36,525","36,230","0.22K","-0.06"
"Mar 03, 2015","36,399","36,789","36,798","36,198","0.70K","-0.67"
"Mar 02, 2015","36,646","37,000","37,180","36,600","2.74K","-0.24"
"Feb 28, 2015","36,736","36,199","36,779","36,130","4.81K","0.94"
"Feb 27, 2015","36,393","36,627","36,745","36,231","18.70K","-0.64"
"Feb 26, 2015","36,628","36,650","37,098","36,559","21.50K","0.47"
"Feb 25, 2015","36,455","36,200","36,829","36,200","22.24K","1.34"
"Feb 24, 2015","35,974","36,314","36,546","35,760","30.17K","-0.62"
"Feb 23, 2015","36,199","36,262","36,771","35,791","30.53K","-0.18"
"Feb 21, 2015","36,265","36,265","36,265","36,265","0","-0.13"
"Feb 20, 2015","36,314","36,500","36,760","36,227","23.66K","-0.29"
"Feb 19, 2015","36,420","36,712","37,135","36,320","27.78K","0.39"
"Feb 18, 2015","36,278","36,513","36,780","36,170","24.44K","-0.26"
"Feb 17, 2015","36,374","37,817","37,817","36,201","25.39K","-4.60"
"Feb 16, 2015","38,128","38,101","38,474","38,034","10.59K","-0.20"
"Feb 13, 2015","38,204","37,500","38,377","37,333","26.16K","2.63"
"Feb 12, 2015","37,225","37,250","37,781","37,050","23.88K","-0.46"
"Feb 11, 2015","37,397","37,656","37,836","37,251","18.85K","-0.54"
"Feb 10, 2015","37,599","37,661","37,950","37,179","22.06K","-0.53"
"Feb 09, 2015","37,798","37,175","37,964","37,072","20.61K","2.09"
"Feb 06, 2015","37,024","38,011","38,250","36,731","30.94K","-2.21"
"Feb 05, 2015","37,859","38,485","38,649","37,410","31.10K","-1.33"
"Feb 04, 2015","38,371","38,390","38,840","37,970","23.90K","0.74"
"Feb 03, 2015","38,091","37,792","39,000","37,703","31.97K","0.23"
"Feb 02, 2015","38,005","38,118","38,276","37,642","18.73K","-0.26"
"Jan 30, 2015","38,105","37,380","38,385","37,201","26.78K","2.20"
"Jan 29, 2015","37,286","39,350","39,350","37,166","41.50K","-5.54"
"Jan 28, 2015","39,472","39,332","39,649","39,307","15.35K","-0.15"
"Jan 27, 2015","39,530","39,468","39,790","39,083","19.65K","-1.25"
"Jan 25, 2015","40,029","40,029","40,029","40,029","0","0.16"
"Jan 23, 2015","39,965","39,999","40,260","39,725","19.04K","-0.28"
"Jan 22, 2015","40,079","39,795","40,438","39,401","32.16K","0.39"
"Jan 21, 2015","39,923","39,772","40,580","39,565","38.61K","1.01"
"Jan 20, 2015","39,522","38,900","39,786","38,900","28.69K","1.27"
"Jan 19, 2015","39,028","38,967","39,279","38,872","16.00K","-0.18"
"Jan 17, 2015","39,098","39,098","39,098","39,098","0","0.09"
"Jan 16, 2015","39,061","38,095","39,380","37,610","31.70K","3.00"
"Jan 15, 2015","37,922","37,601","38,389","37,076","37.80K","-0.02"
"Jan 14, 2015","37,930","37,900","38,100","37,025","30.06K","-0.60"
"Jan 13, 2015","38,158","37,240","38,290","37,240","29.69K","3.21"
"Jan 12, 2015","36,971","37,074","37,304","36,847","15.53K","0.37"
"Jan 09, 2015","36,833","36,820","37,199","36,530","21.89K","-0.33"
"Jan 08, 2015","36,954","37,612","37,613","36,850","21.32K","-2.14"
"Jan 07, 2015","37,762","37,550","37,930","37,211","21.02K","-0.40"
"Jan 06, 2015","37,914","37,166","38,136","37,052","25.88K","2.40"
"Jan 05, 2015","37,026","36,627","37,196","36,385","25.52K","2.18"
"Jan 02, 2015","36,235","36,498","36,820","35,698","27.85K","0.07"
