"","Symbol","Series","Date","Prev.Close","Open.Price","High.Price","Low.Price","Last.Price","Close.Price","Average.Price","Total.Traded.Quantity","Turnover","No..of.Trades","Deliverable.Qty","X..Dly.Qt.to.Traded.Qty"
"570","GOLDBEES","EQ","27-May-2015",2473,2469.95,2473.75,2462,2469.2,2466.2,2467.4,6837,16869594.35,1120,3764,55.05
"571","GOLDBEES","EQ","28-May-2015",2466.2,2470,2474.4,2459.05,2459.05,2462.05,2463.71,5008,12338262.8,925,2751,54.93
"572","GOLDBEES","EQ","29-May-2015",2462.05,2455.05,2469.6,2454,2458.5,2459.85,2457.61,5804,14263942.7,922,3198,55.1
"573","GOLDBEES","EQ","01-Jun-2015",2459.85,2460,2469.4,2448.5,2450,2451.15,2458.38,7825,19236853.4,1751,3326,42.5
"574","GOLDBEES","EQ","02-Jun-2015",2451.15,2440.1,2470.9,2439,2466,2468.5,2457.26,11347,27882488.45,1323,4481,39.49
"575","GOLDBEES","EQ","03-Jun-2015",2468.5,2459.8,2473,2457.5,2462.2,2466.55,2467.96,11121,27446189.55,1485,7088,63.74
"576","GOLDBEES","EQ","04-Jun-2015",2466.55,2462.2,2470,2457.05,2465,2461.6,2464.21,9421,23215324.35,1451,5858,62.18
"577","GOLDBEES","EQ","05-Jun-2015",2461.6,2441.05,2458.8,2441,2446.15,2444.25,2448.65,12264,30030245.95,1657,4820,39.3
"578","GOLDBEES","EQ","08-Jun-2015",2444.25,2459,2459,2436.6,2448,2448,2443.44,11908,29096495,2109,7447,62.54
"579","GOLDBEES","EQ","09-Jun-2015",2448,2448,2451.85,2438.05,2445,2447.4,2444.77,9865,24117685.7,1282,5787,58.66
"580","GOLDBEES","EQ","10-Jun-2015",2447.4,2454.95,2454.95,2440.1,2452,2451.8,2449.51,12540,30716839,1516,6008,47.91
"581","GOLDBEES","EQ","11-Jun-2015",2451.8,2451.85,2459.8,2424.4,2436.95,2428.45,2432.65,42316,102939887.7,1415,34445,81.4
"582","GOLDBEES","EQ","12-Jun-2015",2428.45,2439.4,2449,2431.1,2448,2444.45,2445.02,14457,35347688.65,1116,10916,75.51
"583","GOLDBEES","EQ","15-Jun-2015",2444.45,2445.15,2455,2431.7,2436,2441.15,2445.66,24123,58996721.05,2370,12688,52.6
"584","GOLDBEES","EQ","16-Jun-2015",2441.15,2450,2464.3,2446.25,2453.8,2448,2454.13,12285,30149000.1,1369,7562,61.55
"585","GOLDBEES","EQ","17-Jun-2015",2448,2448,2452.5,2437.15,2445,2443.85,2443.51,8158,19934172.7,986,5144,63.05
"586","GOLDBEES","EQ","18-Jun-2015",2443.85,2445.05,2462.85,2444,2461.05,2459.8,2450.96,13408,32862500.5,1213,7726,57.62
"587","GOLDBEES","EQ","19-Jun-2015",2459.8,2464.9,2465.5,2455,2455.05,2457,2459.98,8882,21849584.95,1052,4635,52.18
"588","GOLDBEES","EQ","22-Jun-2015",2457,2441.05,2464.7,2441.05,2448,2444.6,2450.27,10534,25811195.9,1403,6211,58.96
"589","GOLDBEES","EQ","23-Jun-2015",2444.6,2439.9,2439.9,2421.05,2424,2424.95,2428.37,10785,26189963.85,1224,4873,45.18
"590","GOLDBEES","EQ","24-Jun-2015",2424.95,2419.85,2423.75,2405.7,2415.05,2414.35,2413.13,11600,27992256,1306,6402,55.19
"591","GOLDBEES","EQ","25-Jun-2015",2414.35,2414,2428,2410.05,2422,2423.7,2418.31,10293,24891624.2,1236,6097,59.23
"592","GOLDBEES","EQ","26-Jun-2015",2423.7,2424,2424,2409,2422,2420.7,2416.89,8215,19854712.1,1112,3993,48.61
"593","GOLDBEES","EQ","29-Jun-2015",2420.7,2430.15,2447.85,2426.8,2434.5,2430.7,2436.68,26349,64204059.45,1672,12029,45.65
"594","GOLDBEES","EQ","30-Jun-2015",2430.7,2434.9,2435.9,2415,2421,2419.85,2423.88,6473,15689754.6,958,3766,58.18
"595","GOLDBEES","EQ","01-Jul-2015",2419.85,2429,2429,2413,2422,2417.7,2417.93,7137,17256752.65,1255,4258,59.66
"596","GOLDBEES","EQ","02-Jul-2015",2417.7,2414.95,2419.85,2398,2398,2402.65,2405.07,10284,24733741.15,1370,5092,49.51
"597","GOLDBEES","EQ","03-Jul-2015",2402.65,2405,2405,2393,2395.2,2394.8,2399.61,9685,23240184.25,1322,7254,74.9
"598","GOLDBEES","EQ","06-Jul-2015",2394.8,2400.2,2409.8,2390,2390,2391.65,2397.43,13400,32125604.5,1853,7797,58.19
"599","GOLDBEES","EQ","07-Jul-2015",2391.65,2399.75,2402,2390,2397.05,2399.6,2396.29,10654,25530073.65,1658,6011,56.42
"600","GOLDBEES","EQ","08-Jul-2015",2399.6,2387.1,2402,2380,2393,2397.35,2386.38,20578,49106851.2,4412,14701,71.44
"601","GOLDBEES","EQ","09-Jul-2015",2397.35,2403.9,2417,2393.35,2404.3,2412,2408.95,16939,40805260.15,1279,12051,71.14
"602","GOLDBEES","EQ","10-Jul-2015",2412,2410,2410,2395.15,2404,2397.8,2402.14,5426,13033986.1,1152,3016,55.58
"603","GOLDBEES","EQ","13-Jul-2015",2397.8,2394.1,2400,2312,2384,2383,2386.09,12399,29585155.05,1501,7346,59.25
"604","GOLDBEES","EQ","14-Jul-2015",2383,2383,2485,2376.05,2377,2377.95,2388.6,7852,18755297.85,1301,3621,46.12
"605","GOLDBEES","EQ","15-Jul-2015",2377.95,2377,2392,2375,2377.5,2379.15,2383.53,14043,33471902,1681,5607,39.93
"606","GOLDBEES","EQ","16-Jul-2015",2379.15,2375,2379.15,2355.05,2360,2362.75,2365.1,14348,33934521.05,1972,9611,66.98
"607","GOLDBEES","EQ","17-Jul-2015",2362.75,2365,2371,2358.15,2360.35,2360.45,2365.21,12725,30097292.3,1471,7076,55.61
"608","GOLDBEES","EQ","20-Jul-2015",2360.45,2355.15,2355.15,2320,2325,2332.85,2333.46,34310,80060958.4,3875,21470,62.58
"609","GOLDBEES","EQ","21-Jul-2015",2332.85,2322.85,2339.95,2320,2337,2338.45,2335.35,21489,50184396.95,2399,14247,66.3
"610","GOLDBEES","EQ","22-Jul-2015",2338.45,2327.9,2334.95,2273,2275,2285.1,2298.75,70191,161351343.65,5331,50246,71.58
"611","GOLDBEES","EQ","23-Jul-2015",2285.1,2309.95,2309.95,2287,2296,2292.85,2293.73,31168,71491080.95,2898,18440,59.16
"612","GOLDBEES","EQ","24-Jul-2015",2292.85,2280.4,2292.9,2270.95,2285,2286.5,2282.89,21667,49463302.7,2893,15899,73.38
"613","GOLDBEES","EQ","27-Jul-2015",2286.5,2297.9,2310.95,2288.8,2294.7,2293,2296.89,29842,68543790.45,2186,22184,74.34
"614","GOLDBEES","EQ","28-Jul-2015",2293,2294,2294.45,2285.05,2289.5,2289.8,2289.1,12723,29124185.6,1423,8022,63.05
"615","GOLDBEES","EQ","29-Jul-2015",2289.8,2298,2299,2274,2279,2280,2280.39,11083,25273513.15,1295,7612,68.68
"616","GOLDBEES","EQ","30-Jul-2015",2280,2280,2284.6,2270.25,2275,2272.85,2275.87,12508,28466563.15,1574,9683,77.41
"617","GOLDBEES","EQ","31-Jul-2015",2272.85,2276.15,2279.95,2266,2268.2,2269.75,2270.91,11681,26526468.95,2012,7251,62.08
"618","GOLDBEES","EQ","03-Aug-2015",2269.75,2280.15,2290,2272.7,2273.2,2274.1,2279.96,16010,36502182.8,2211,11016,68.81
"619","GOLDBEES","EQ","04-Aug-2015",2274.1,2273.85,2274.5,2261.2,2269.75,2268.8,2268.39,15896,36058289.85,1650,9262,58.27
"620","GOLDBEES","EQ","05-Aug-2015",2268.8,2269.85,2269.85,2246,2251.9,2251.2,2257.61,34684,78302813.55,4997,22862,65.92
"621","GOLDBEES","EQ","06-Aug-2015",2251.2,2258.9,2258.9,2247.15,2248.6,2248.55,2250.92,17857,40194744.8,1918,12513,70.07
"622","GOLDBEES","EQ","07-Aug-2015",2248.55,2250,2272.95,2242.5,2258,2261.05,2260.07,25389,57380954.2,2215,17032,67.08
"623","GOLDBEES","EQ","10-Aug-2015",2261.05,2274.9,2278.9,2257.05,2274,2270.2,2268.22,16611,37677431.35,2131,10777,64.88
"624","GOLDBEES","EQ","11-Aug-2015",2270.2,2281,2320.05,2281,2316.7,2314.3,2303.36,47571,109572906.5,2862,33081,69.54
"625","GOLDBEES","EQ","12-Aug-2015",2314.3,2320.9,2354.7,2316.5,2347,2346,2338.44,28811,67372875.05,2670,15942,55.33
"626","GOLDBEES","EQ","13-Aug-2015",2346,2346,2360,2345.05,2353.95,2354.5,2355.15,17518,41257517.65,1661,12578,71.8
"627","GOLDBEES","EQ","14-Aug-2015",2354.5,2359,2359,2340.2,2353,2350.4,2348.25,16299,38274183.9,1348,11208,68.76
"628","GOLDBEES","EQ","17-Aug-2015",2350.4,2352,2368,2352,2367,2364.5,2362.12,13149,31059474.45,1892,8725,66.35
"629","GOLDBEES","EQ","18-Aug-2015",2364.5,2246.3,2377.5,2075,2376.6,2375.75,2372.71,12038,28562622.8,1290,7367,61.2
"630","GOLDBEES","EQ","19-Aug-2015",2375.75,2368.1,2379.8,2367,2379.8,2375.55,2372.27,8582,20358800.15,1088,4870,56.75
"631","GOLDBEES","EQ","20-Aug-2015",2375.55,2381,2410.9,2381,2407.05,2408.75,2403.54,21524,51733707.8,1783,14298,66.43
"632","GOLDBEES","EQ","21-Aug-2015",2408.75,2411.9,2479.5,2411.9,2446.3,2444.25,2460.52,38712,95251668.75,3028,23431,60.53
"633","GOLDBEES","EQ","24-Aug-2015",2444.25,2461,2497.8,2461,2472,2473.9,2479.37,41583,103099475.6,3611,28667,68.94
"634","GOLDBEES","EQ","25-Aug-2015",2473.9,2451.05,2472,2436.15,2447,2444.65,2455.84,28118,69053308,2274,20465,72.78
"635","GOLDBEES","EQ","26-Aug-2015",2444.65,2435.1,2435.1,2411.05,2417.15,2420,2423.15,11049,26773372.95,1247,7206,65.22
"636","GOLDBEES","EQ","27-Aug-2015",2420,2414.9,2414.9,2383,2395.05,2396.1,2398.89,7888,18922460.65,916,5518,69.95
"637","GOLDBEES","EQ","28-Aug-2015",2396.1,2396.25,2420.6,2396.25,2415.75,2413.3,2413.32,9299,22441500.85,903,5060,54.41
"638","GOLDBEES","EQ","31-Aug-2015",2413.3,2421.9,2432.9,2416,2425,2431.3,2429.68,14319,34790591.35,1072,7858,54.88
"639","GOLDBEES","EQ","01-Sep-2015",2431.3,2436,2451.1,2436,2445,2442.8,2445.03,16723,40888250.4,1725,9968,59.61
"640","GOLDBEES","EQ","02-Sep-2015",2442.8,2442,2443.9,2425,2425,2427.75,2432.84,15231,37054647.3,1105,8311,54.57
"641","GOLDBEES","EQ","03-Sep-2015",2427.75,2425,2426.55,2405.2,2409.95,2408.4,2415.18,7189,17362764.45,945,4027,56.02
"642","GOLDBEES","EQ","04-Sep-2015",2408.4,2406,2410.45,2392,2406,2406.9,2405.99,11619,27955164.2,1148,7832,67.41
"643","GOLDBEES","EQ","07-Sep-2015",2406.9,2410,2423.85,2408.1,2413.7,2411.85,2413.63,23684,57164465.75,1981,17541,74.06
"644","GOLDBEES","EQ","08-Sep-2015",2411.85,2405.05,2415,2398,2414.8,2410.3,2407.65,9673,23289209.3,990,6570,67.92
"645","GOLDBEES","EQ","09-Sep-2015",2410.3,2401.35,2413,2391.05,2399,2398.05,2400.23,18415,44200241.95,1264,10221,55.5
"646","GOLDBEES","EQ","10-Sep-2015",2398.05,2388,2388,2373.05,2380,2376.55,2377.77,19710,46865775.85,1459,15628,79.29
"647","GOLDBEES","EQ","11-Sep-2015",2376.55,2410.9,2410.95,2351,2380.9,2380.8,2383.31,6900,16444871.8,835,4083,59.17
"648","GOLDBEES","EQ","14-Sep-2015",2380.8,2380,2388.4,2372.4,2374.05,2374.9,2376.19,15530,36902277.9,925,11778,75.84
"649","GOLDBEES","EQ","15-Sep-2015",2374.9,2370.2,2381.75,2370.15,2375,2373.35,2375.91,13418,31879981,1245,10114,75.38
"650","GOLDBEES","EQ","16-Sep-2015",2373.35,2373.9,2378.9,2368,2376,2376,2374.64,20417,48483036,753,11670,57.16
"651","GOLDBEES","EQ","18-Sep-2015",2376,2391.25,2416.05,2391.05,2409,2410.75,2405.95,15754,37903367.45,1082,7374,46.81
"652","GOLDBEES","EQ","21-Sep-2015",2410.75,2412,2419.9,2392.1,2395,2397.55,2404.53,16599,39912719.6,1135,11060,66.63
"653","GOLDBEES","EQ","22-Sep-2015",2397.55,2399.8,2404.4,2386,2394.75,2391.95,2392.86,11381,27233140.35,952,6631,58.26
"654","GOLDBEES","EQ","23-Sep-2015",2391.95,2400,2400,2373.8,2383.95,2384.1,2386.07,8778,20944922.1,715,4775,54.4
"655","GOLDBEES","EQ","24-Sep-2015",2384.1,2397,2414,2397,2408.55,2410.05,2408.56,10274,24745562.6,1006,6110,59.47
"656","GOLDBEES","EQ","28-Sep-2015",2410.05,2421.05,2444.5,2400,2400,2407.3,2415.29,18537,44772283.85,1336,6724,36.27
"657","GOLDBEES","EQ","29-Sep-2015",2407.3,2405.15,2419.8,2387,2390,2389.25,2398.7,14297,34294196.1,969,10189,71.27
"658","GOLDBEES","EQ","30-Sep-2015",2389.25,2399.95,2399.95,2377,2383.95,2387,2382.83,12240,29165883.4,1050,6726,54.95
"659","GOLDBEES","EQ","01-Oct-2015",2387,2379.8,2379.8,2360.55,2368,2366.15,2365.73,6439,15232949.15,1340,3721,57.79
"660","GOLDBEES","EQ","05-Oct-2015",2366.15,2409.95,2409.95,2381.05,2391,2388.45,2393.93,8929,21375391.45,1565,3945,44.18
"661","GOLDBEES","EQ","06-Oct-2015",2388.45,2398.95,2403,2388.05,2396.05,2396.3,2397.21,8688,20827002.4,809,4245,48.86
"662","GOLDBEES","EQ","07-Oct-2015",2396.3,2420,2427.85,2401.6,2407,2405.2,2416.14,12189,29450276.9,1474,7673,62.95
"663","GOLDBEES","EQ","08-Oct-2015",2405.2,2397.15,2402,2390.7,2396.25,2396.2,2396.07,5374,12876455.4,532,3089,57.48
"664","GOLDBEES","EQ","09-Oct-2015",2396.2,2399.95,2417,2391.05,2410.1,2412.55,2402.2,9146,21970475.7,1052,4398,48.09
"665","GOLDBEES","EQ","12-Oct-2015",2412.55,2416,2436.8,2415,2428.05,2432.7,2428.53,13258,32197453.05,1360,7099,53.55
"666","GOLDBEES","EQ","13-Oct-2015",2432.7,2425,2430,2405.6,2415.1,2415.95,2414.13,16285,39314065.4,769,6529,40.09
"667","GOLDBEES","EQ","14-Oct-2015",2415.95,2435,2464,2425.55,2445,2442.55,2451.8,19605,48067581,1359,11020,56.21
"668","GOLDBEES","EQ","15-Oct-2015",2442.55,2451.05,2471,2451.05,2462.95,2459.9,2462.64,21169,52131527.1,1936,13337,63
"669","GOLDBEES","EQ","16-Oct-2015",2459.9,2456.45,2459,2443.1,2447.15,2448.65,2449.26,18221,44627940.55,799,11009,60.42
"670","GOLDBEES","EQ","19-Oct-2015",2448.65,2432.5,2443.95,2425.2,2443.95,2439.65,2435.76,11186,27246399.3,919,6418,57.38
"671","GOLDBEES","EQ","20-Oct-2015",2439.65,2431,2449,2431,2449,2448.1,2441.45,8506,20767004.9,712,4879,57.36
"672","GOLDBEES","EQ","21-Oct-2015",2448.1,2455,2463.4,2454.1,2457.05,2456.9,2459.21,8730,21468921.2,839,5673,64.98
"673","GOLDBEES","EQ","23-Oct-2015",2456.9,2448,2448,2435.05,2442.05,2442.8,2442.34,6481,15828793.9,841,3159,48.74
"674","GOLDBEES","EQ","26-Oct-2015",2442.8,2439.85,2439.85,2427.2,2434.4,2432.65,2433.8,7051,17160732.5,864,3845,54.53
"675","GOLDBEES","EQ","27-Oct-2015",2432.65,2432,2450,2425.6,2449.8,2445.15,2437.42,7421,18088059.9,929,4191,56.47
"676","GOLDBEES","EQ","28-Oct-2015",2445.15,2450,2455.85,2441.35,2455.05,2453.9,2449.92,8059,19743897.05,664,4559,56.57
"677","GOLDBEES","EQ","29-Oct-2015",2453.9,2432,2446.8,2427,2445,2444.7,2440.51,10072,24580858.55,708,8035,79.78
"678","GOLDBEES","EQ","30-Oct-2015",2444.7,2425.15,2446,2423.1,2440,2440.65,2436.17,8419,20510073.2,881,5049,59.97
"679","GOLDBEES","EQ","02-Nov-2015",2440.65,2439,2440,2410,2410.05,2411.5,2421.05,8241,19951856,1559,4945,60
"680","GOLDBEES","EQ","03-Nov-2015",2411.5,2415,2415,2395,2399,2396.7,2402.85,7611,18288083.9,1218,5361,70.44
"681","GOLDBEES","EQ","04-Nov-2015",2396.7,2391.8,2400,2373,2383.05,2380.45,2378.53,9442,22458091.45,1473,5322,56.37
"682","GOLDBEES","EQ","05-Nov-2015",2380.45,2375,2385,2369.4,2378,2379.5,2375.7,9179,21806580.35,1324,6969,75.92
"683","GOLDBEES","EQ","06-Nov-2015",2379.5,2380,2380,2356.35,2365.15,2363.5,2362.22,22340,52772043.95,1354,17468,78.19
"684","GOLDBEES","EQ","09-Nov-2015",2363.5,2360,2404.9,2353.1,2364.7,2377.05,2394.61,56507,135312190,9085,33675,59.59
"685","GOLDBEES","EQ","10-Nov-2015",2377.05,2379.8,2379.8,2345.6,2353,2349.4,2352.32,13220,31097615.3,1855,8012,60.61
"686","GOLDBEES","EQ","11-Nov-2015",2349.4,2394.35,2394.35,2326.6,2332.4,2333.3,2338.67,19542,45702385.4,3355,16803,85.98
"687","GOLDBEES","EQ","13-Nov-2015",2333.3,2329,2333.9,2316,2322,2321.25,2321.54,26868,62375129.65,2019,18771,69.86
"688","GOLDBEES","EQ","16-Nov-2015",2321.25,2344.8,2346.95,2321.55,2329,2330.6,2335.85,44280,103431262.35,2296,27172,61.36
"689","GOLDBEES","EQ","17-Nov-2015",2330.6,2324.4,2324.4,2305,2310,2311.75,2309.84,12165,28099214.35,1476,5323,43.76
"690","GOLDBEES","EQ","18-Nov-2015",2311.75,2320,2320,2293,2305,2303.35,2299.68,10650,24491572.15,1314,6407,60.16
"691","GOLDBEES","EQ","19-Nov-2015",2303.35,2300.55,2314.95,2300.55,2305,2305.35,2308.39,12958,29912056.85,862,8868,68.44
"692","GOLDBEES","EQ","20-Nov-2015",2305.35,2310.8,2333.95,2310,2333.95,2327.35,2319.42,33159,76909614.05,1378,20294,61.2
"693","GOLDBEES","EQ","23-Nov-2015",2327.35,2316.9,2316.9,2301.1,2313.95,2310.2,2307.36,10158,23438195.8,1269,6675,65.71
"694","GOLDBEES","EQ","24-Nov-2015",2310.2,2310,2322,2305.05,2322,2319.1,2312.84,6677,15442857.2,723,3869,57.95
